视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV15B4y1j7ep,603784291,1,日常,1,http://i0.hdslb.com/bfs/archive/bd8bf8a5cdd96ac58434e0fa8e1f092c902d466d.jpg,24楼的孩子，你爸妈很伟大。也许我只能沉默，可湿润了眼眶！！！,1665145827,1665145827,-,730306,100181
BV17D4y1C7W5,731561587,1,影视杂谈,1,http://i1.hdslb.com/bfs/archive/f831d5441d36599aa94dd675023b51bdafe1bf56.jpg,什么叫国产战争片天花板！《特级英雄黄继光》硬核影评,1665654336,1665654336,"Staff
总策划：花岗岩
总顾问：星海论坛Suit
总监制：花家小可爱
文案：花岗岩、星海论坛Suit、花家小可爱
配音：花岗岩
制作：花家小可爱、花岗岩
资料：
15军政治部编《凯歌百代》《志愿军一日》第二编
15军政治部编《战斗在上甘岭》
空军政治部编《革命英雄谱4•志愿军赞》
《上甘岭战役中的山地坚固阵地 防御阵地参考资料》
《我的父辈在抗美援朝中》
上甘岭战役，志愿军老兵采访资料若干
上甘岭战役，美军进攻参考资料若干
空军“黄继光英雄连”采访资料若干
鸣谢：《特级英雄黄继光》制作组",1349021,147955
BV1R44y1f7Yv,986555749,1,人文历史,1,http://i1.hdslb.com/bfs/archive/d76155b3c9d53787338464aebfd62a469317a3e5.jpg,不懂英语如何刺探英国情报？【硬核狠人40】,1665647481,1665716400,"本篇为硬核狠人之艾丽萨.巴兹纳。

参考资料：
巴兹纳回忆录《我是西塞罗》
马克·西蒙斯2014年出版《西塞罗特工：希特勒最好的间谍》
理查德·怀斯1999年出版《西塞罗间谍事件：二战中德国获取英国机密》
杰尔·韦斯特1985年出版《谎言的线索：二战间谍神话》
亚当·乐博2000年出版《幸存的希特勒：第三帝国的选择、腐败和妥协》
莫伊奇兹的《西塞罗行动》",719905,85856
BV1Z8411W7aW,219044030,2,电子竞技,1,http://i1.hdslb.com/bfs/archive/67b84fc45a6e64f3e68ef125c49fd091f311ae80.jpg,【S12全球总决赛】小组赛 10月14日 EDG vs T1,1665708425,1665708424,【S12全球总决赛】小组赛 10月14日 EDG vs T1,1190298,13459
BV1td4y1i7Do,388909710,1,搞笑,2,http://i0.hdslb.com/bfs/archive/99ca1081febdcb3c80ec5bbce3a16236a9f7bc86.jpg,男子偷盗照顾小男孩，只因自己也有不幸的童年,1665378372,1665378371,weibo,808564,85255
BV1P84y1z7cM,604018729,1,美食侦探,1,http://i1.hdslb.com/bfs/archive/069141a7315cf11869b50d61935d6d47170f1715.jpg,中山.崖口煲仔饭  厨子探店¥？？,1665642806,1665718200,,529632,41577
BV1dN4y1A7YR,901467374,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/b6437aa67b2062e125ecaf84956db621ef1af8a8.jpg,泪目！一部看完会让人想去支教的电影，致敬那些最可爱的人,1665334400,1665334400,电影《藏草青青》,243420,26045
BV1AP411E773,304071610,4,手机游戏,1,http://i2.hdslb.com/bfs/archive/a958f076d18548de6384bf46dc2300e45de027bb.png,《原神》角色演示-「妮露：莲舞纤姿」,1665585414,1665633602,"演出用的空间总是有限，但舞蹈却能传达出无尽的遐思。
在无拘的舞步中，星河璀璨的穹顶亦是尽情施展的舞台。

中文CV：
妮露——紫苏九月

日文CV：
妮露——金元寿子

《原神》bilibili服下载地址：
https://www.biligame.com/detail/?id=103496",2087482,204849
BV1ye4y1q79S,561507791,1,热点,1,http://i0.hdslb.com/bfs/archive/1c64ab9bc42efc92698611a6e6c10d1f39448fab.jpg,“我将无我，不负人民”，是不变的初心，更是坚定的行动！,1665663984,1665663984,,533343,71811
BV1o8411W78n,219040273,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/9efc618c3803d2cc652d037dd1c67c4a6e7645dd.jpg,“放屁模拟器”,1665656445,1665656445,"希望各位观众老爷们喜欢这期视频！
喜欢记得点赞/投币/收藏/分享！",940587,118832
BV1A14y1E7oG,774053893,1,鬼畜剧场,1,http://i2.hdslb.com/bfs/archive/f336d72a075399a792a9b49aa721625592e8009d.jpg,【名著联动】悟空统一三国,1665656926,1665656926,"西游记第一回：猴王降世平天下
三国演义第一回：花果山三国结义",425426,31977
BV1h8411W7e9,218952597,1,设计·创意,1,http://i0.hdslb.com/bfs/archive/8e07738db4d41a7593761f75f8f21cdb9c1021b2.jpg,中国经典撞色配色 | 审美提升,1665558970,1665581700,-,152728,19020
BV1VR4y1X7gt,346584576,1,数码,1,http://i0.hdslb.com/bfs/archive/a367d4942b29e7f8b9b8b674eca0adf63a187b50.jpg,我们用三张4090点亮了五个8K电视！,1665674621,1665674880,感谢华硕爸爸对本期节目的支持，今天我们拿ROG的Strix RTX4090整了个大活！用三张4090显卡带动5台8K电视是什么体验？注意是五台哦！总共21600x7680的恐怖分辨率，1.66亿个像素点！五屏8K打游戏能跑多少帧？在此之前，4090能不能带单个8K 144呢？今天全部告诉你答案！,519764,42457
BV12e4y1v7dD,561613658,1,美食侦探,1,http://i2.hdslb.com/bfs/archive/b59f3632f068e81f7d852dfa9903fd9aac59f6c9.jpg,新疆官方开的自助，果然非同一般,1665667660,1665668531,"今天这家店实在是太划算了
感觉谁来都能轻松吃回本
而且还巨好吃
可冲
大家想看哪里都可以给我留言
接下来我将游历全国
总有一天会走到你的城市
帮你寻找当地好吃的宝藏小店
敬请期待",466777,26172
BV1id4y1i7fY,388906485,1,日常,1,http://i2.hdslb.com/bfs/archive/3f1dce9c3809d9602a32c439cc470d3e156d205d.jpg,有的人死了，尸体都找不回来，《非常警事》主题曲发布，讲述禁毒战场的一起真案,1665459892,1665459892,,3967145,555458
BV1He4y1S7NS,559047661,1,搞笑,1,http://i1.hdslb.com/bfs/archive/4480b3c99155a71bde2dbd984a5be367d5f367c4.jpg,入职新公司引发上百ikun骚动，请粉丝吃饭,1665680626,1665720000,-,180921,20095
BV1LN4y1w7Nz,901624767,2,电子竞技,1,http://i1.hdslb.com/bfs/archive/3bc717641478f0d1405ed8228c1f9f1383051448.jpg,【S12全球总决赛】小组赛 10月14日 FNC vs EDG,1665701294,1665701294,【S12全球总决赛】小组赛 10月14日 FNC vs EDG,684080,9906
BV1yV4y1L77C,859030083,1,美食侦探,1,http://i0.hdslb.com/bfs/archive/478be7028fd2568ad6377cc085c10e9a78ac8b4e.jpg,好久没吃过的街头拌水果，久违了兄弟们，我回归了。,1665577447,1665577447,-,1893046,192326
BV1WW4y1H7ho,943941260,1,社会,1,http://i2.hdslb.com/bfs/archive/5a8969ae8d9b8289033dc4573662fb4931b71e28.jpg,男子三军仪仗队退役复学，网友：教官在想这学员咋比我还标准,1665560451,1665560451,,1937156,108135
