视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1aP411A7jh,304355849,1,小剧场,1,http://i1.hdslb.com/bfs/archive/b9611611bc5d2383bf41a8c08605ecbee7a5da71.jpg,既分高下，也决生死！,1666333995,1666353600,喜欢我们视频风格，就关注我们吧！,1760322,218439
BV1Xe4y1m71t,559251716,1,美食侦探,1,http://i2.hdslb.com/bfs/archive/5c48a5c0ec1773f80ea0cd40ed7a4a2cd8bbaf9c.jpg,探访美国网红监狱，帅小伙亲测死囚最后一餐！,1666416834,1666427400,美国监狱美食！！,1282059,166587
BV1Jt4y1u7mT,986824524,1,社科·法律·心理,1,http://i2.hdslb.com/bfs/archive/f0960016bd20d77e73419f0a070da184a7440709.jpg,我们采访了一位53岁“赛博”母亲，她正在现实中守护去世儿子的灵魂【差评君】,1666348441,1666348441,"今天要跟大家讲的，是一位母亲继承儿子遗愿的故事。
为了弄清事实真相，我采访了这位母亲，而在两个小时的电话采访里，我几次被她的讲述感动到哽咽......",1610066,190727
BV1bm4y1w7vp,689317009,1,手工,1,http://i2.hdslb.com/bfs/archive/4da49e88e68e69fa12cdba53b11915cf663120f8.jpg,超细节！完整版《家有儿女》，做出来了！,1666433647,1666433912,"设计原型：《家有儿女》拍摄场景
零件数量：5651 pcs
零件种类：1061种
长宽高：63cmx57cmx13cm
重量：7.5kg
现存MOC套装：1
IP商品：森宝积木——《家有儿女》客厅
设计软件：乐高ldd",307833,43427
BV1g8411e7WA,219232066,1,宅舞,1,http://i0.hdslb.com/bfs/archive/1896b2072b4eaac2ca7778a2f8b775c5af8f4cf8.jpg,【鱼肉肉】Lovepotion宅舞 小飞棍摔咯~,1666194808,1666194808,翻跳lovepotion 歌曲：https://music.163.com/song?id=28468985&userid=128924367,3394137,461773
BV1Vm4y1w7Ab,689295605,1,宅舞,1,http://i2.hdslb.com/bfs/archive/ccedd9d33b5c0be2401b465fff120c94a3f7ebd8.jpg,当平时默默无闻的同学突然跳起了极乐净土……,1666403026,1666403026,"原作：BV1us41137Fd


前两天看到了MARIA她们的最终篇 真的是爷青结了 翻相册又看到了高考前第一次也是最后一次在同学们面前跳舞 爷青结X2 
跳得不好只想做个纪念( ´▽` )ﾉ",667842,49229
BV1x8411e7kM,219285525,4,电子竞技,1,http://i0.hdslb.com/bfs/archive/c84d034b2d4e1336568e97bacbcb8d32c2667af0.jpg,【S12全球总决赛】淘汰赛 10月22日 RNG vs T1,1666390276,1666390276,【S12全球总决赛】淘汰赛 10月22日 RNG vs T1,3296392,34885
BV1HK411D73j,474370897,1,综合,1,http://i1.hdslb.com/bfs/archive/c0ec06408379ed6935d8bf796213866e946849db.jpg,在？来看个消防器材展示,1666342910,1666342910,,473619,95258
BV1MV4y1G7ud,859348651,1,日常,1,http://i1.hdslb.com/bfs/archive/a3f1dc6237d85b5e74898371a9a12b2f663316b5.jpg,“句句不提爱，句句都是爱”,1666371745,1666371745,-,390850,24621
BV1Ve41157ED,261851522,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/7ba36c1d9340b77a1dab35310941090e652659d6.jpg,"爆火后一夜消失，这个""内娱活人""应该被看见",1666356884,1666432800,张本煜在某社交平台被消失，内娱又少了一个真实的“大活人”。,376577,13573
BV1pG4y1H7mG,816839715,1,日常,1,http://i0.hdslb.com/bfs/archive/a09bfc47639124b69fcdb34e83b91bfd3cb3b15c.jpg,变废为宝,1666353635,1666353635,-,1631781,316967
BV1JG4y1n7En,816629199,1,三农,1,http://i1.hdslb.com/bfs/archive/328a0c0b544f7ce5fcfaea3c0cac779be15c2aca.jpg,有些人觉得猪肝抹上锅灰很不卫生，居然还放草木灰里面烤，这种做法祖祖辈辈传下来的#爷爷我们给你买,1666154556,1666154556,,1503190,114453
BV1V8411e7j7,219278758,1,社科·法律·心理,1,http://i0.hdslb.com/bfs/archive/f251c995474bf7ceabf3e6f50bd66e8d3542013b.jpg,热搜上细思恐极的“月亮与六便士”事件，暴露当下的病态现象,1666338815,1666338815,"如果小伙伴有更多的看法，可以在评论区给我留言。
感谢大家的一键三连，你们的鼓励是我做视频的动力～",1712565,96983
BV1oe411G7Qy,261639408,1,仿妆cos,1,http://i0.hdslb.com/bfs/archive/39b94c37f9fbadc9edf42deede70001483ae5b63.jpg,赛博朋克边缘行者 要和露西一起去月球吗？,1666237693,1666348200,,301556,83806
BV1Nt4y1u7RM,986804717,1,美食记录,1,http://i1.hdslb.com/bfs/archive/74f0058f4bd65b48b0116da53c4c510512ee7b36.jpg,三年美食博主生涯猛涨20斤，这一天 终于来了！,1666419244,1666429200,在线提问要不要看二喵打卡日常三餐的食谱？就是有点容易刷屏……,756479,79584
BV1ZK411Q7rf,474128514,1,喵星人,1,http://i0.hdslb.com/bfs/archive/08f90fd376109be0694674e2af26df8b9f72b5d8.jpg,只有养过毛孩子才能有这种体会，看着他活过来的一瞬间心里说不出的喜悦，感动。一定要好好活着，我养你❤️啊！,1666191130,1666260000,只有养过毛孩子才能有这种体会，看着他活过来的一瞬间心里说不出的喜悦，感动。一定要好好活着，我养你❤️啊！,594514,31797
BV1pV4y157hQ,859295661,1,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/0039c779389cf5e36324adfb5a3ea8a4504bda4d.jpg,课 堂 请 勿 对 对 子【只因专场】！！！,1666402064,1666409400,"久等了！全程高能！！！全新的一季，全新的特效！
通宵的我先去睡了，视频交给你们了！醒来投币10w，爆肝下期！",473446,87714
BV1DR4y1D7Nk,346837596,1,野生技能协会,1,http://i2.hdslb.com/bfs/archive/b39e6865d2ae4618d4260eaeb440f5add6950835.jpg,早两年会这个说不定能踢出一辆库里南,1666259653,1666259652,-,1342841,59760
BV1oe4y1Y7n5,561775129,1,单机游戏,1,http://i1.hdslb.com/bfs/archive/001430833f5b6d0863fbafa8c2bd80c756f77614.jpg,起床战争,1666264329,1666265394,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得三连）",3878623,435434
BV1pR4y197Cn,346816091,1,日常,1,http://i2.hdslb.com/bfs/archive/a13fc4f86eb91265fb491349058a69235b946243.jpg,暧昧期的第一次约会，我们居然…,1666428699,1666428699,好神奇的体验，当老夫老妻去体验第一次约会！那种第一次见面的害羞又重返心头，希望大家喜欢这一期视频！我自己是蛮喜欢的哈哈哈！,658604,86570
BV1BD4y1r7Sf,731792934,1,电子竞技,1,http://i0.hdslb.com/bfs/archive/cecd85cec681f28ca280df5e72329b8232020e59.jpg,【Theshy】沙 漠 黄 只 因,1666346091,1666346091,"看什么简介！别看别看
看视频！！！求你了",521628,30173
BV1gd4y1y7Ze,389330282,1,影视剪辑,1,http://i0.hdslb.com/bfs/archive/f546478c284ab5aeadb6fed2a8d3cff0f264a28c.jpg,“谁不想青史留名呢？有李杜是大唐的幸事也是中华文化的幸事！ ”,1666319918,1666319918,一仙一圣，无论少了哪一个。大唐的天空都将黯然失色!,550682,106033
BV19P4y1U7DY,901871449,1,出行,1,http://i0.hdslb.com/bfs/archive/37d1004cb274d8898012b0f0ba0105472d14e759.jpg,这是云南最好的饭店！,1666348912,1666348912,-,900735,211605
BV1wW4y1n7y3,944198618,1,MV,1,http://i0.hdslb.com/bfs/archive/39a344d4af30e7661ca13ca95d63c0f4183535a0.jpg,【(G)I-DLE】[M/V] - 'Nxde',1665990428,1665997200,,5330989,332561
BV1GK411D7sW,474341604,1,日常,1,http://i0.hdslb.com/bfs/archive/4d18f8c8c920875426d00834a2edf59a2d69b7c1.jpg,男朋友送的星空灯，过节到底是转账好还是送它好？,1666262571,1666262571,,1160192,115296
BV1Q14y1j7AA,774347394,1,影视杂谈,1,http://i0.hdslb.com/bfs/archive/767696515ee04ebd73bcc8284365ed39887163e8.jpg,落单？反杀1000人！我卢俊义没开挂！《水浒传》P43,1666447192,1666447192,"以一敌千！卢俊义重新定义落单！
辽国招安！宋江吴用该如何抉择？

今天讲的是《水浒传》
第八十四回「宋公明兵打蓟州城，卢俊义大战玉田县」
第八十五回「宋公明夜度益津关，吴学究智取文安县」

本期点赞过10万
将于一周之内更新下一P
敬请期待",243839,46604
BV1qg41187YW,516841044,1,综合,1,http://i0.hdslb.com/bfs/archive/c2b61bcaaebd6f4f2ac27e96190023748f66d8c7.jpg,手绘482张，还原猫和老鼠《捕鼠陷阱》,1666267969,1666342800,"描画 10fps
汤姆又变形了，汤姆很方。",592550,75884
BV1QN4y1w7kG,901750661,1,美食记录,1,http://i1.hdslb.com/bfs/archive/ba75f28988d38e78f07e0223128c8f4df2992a44.jpg,猪排饭 将就吃,1666347751,1666347751,-,953736,79100
BV1RR4y1D7Ak,346824312,1,搞笑,1,http://i2.hdslb.com/bfs/archive/e931dfc7ab72784d42c28891979a6b5ed982956e.jpg,《艺术之家》,1666347580,1666347580,-,1081568,131572
BV1RP4y1U7Ns,901870205,1,家居房产,1,http://i1.hdslb.com/bfs/archive/9f3737740f166ca43cb4e85314a9d921c4d92e16.jpg,我终于有了自己的小家！婚房roomtour！,1666365177,1666429200,试图踏进家居板块的我,459511,64534
BV1NR4y1Q7AR,346856140,1,数码,1,http://i2.hdslb.com/bfs/archive/5c45cca8d188ca0c87603c9b6776e9105706cf9c.jpg,13代酷睿全面评测：大小核+超高频有多强？老电脑有必要升级吗？,1666455389,1666456682,Intel新推出的13代酷睿再一次扩充了规模，还带来了非常高的频率，那么表现如何呢？我们还找来了几年前的9900K，看看这代处理器游戏性能到底比以往提升有多大,90129,11240
