视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1Kq4y1W7MV,546656054,1,宅舞,1,http://i0.hdslb.com/bfs/archive/2b1635d11ec06e2b6802e4ff72c12fcc2eb6507d.jpg,【猛男版】极乐净土,1626247318,1626256806,"BGM: 极乐净土（極楽浄土）/GARNiDELiA
Dancer: Daneil, Michael, Jawill, Isamu, Maezon, Jorie  
Production co-ordinator: NN
你们要的粉丝福利来了~Thank you all for your support！
感谢使命召唤手游的赞助，使命召唤手游×少女前线联动已开启，是兄弟♂就来使命召唤一起玩！",4769589,404177
BV1H44y127su,974177710,1,科学科普,1,http://i0.hdslb.com/bfs/archive/dd534c4b28b83da099a5afc22af061b65da3e098.jpg,从水猴子之父，到“狐主任”,1626144650,1626170413,"他掀起了网络热门生物鉴定的风潮，努力让“当科学家”成为孩子们的理想。作为博物浓云愁永昼男神，“狐主任”是如何炼成的？如何重新定义科学传播的意义？

演讲者：张辰亮 《中国国家地理》融媒体中心主任、哔哩哔哩 UP主
演讲时间：2021年6月19日",2777728,232735
BV1Z54y1J7tq,846503297,1,鬼畜剧场,1,http://i1.hdslb.com/bfs/archive/1b9951885065e981d5850ba787823b4d5a4b135c.jpg,【高能生草】 清 杰 工,1626068358,1626084008,这个杰哥就是逊啊！,3079022,266958
BV14V411W78P,419034237,2,宅舞,1,http://i0.hdslb.com/bfs/archive/d7d80979ac6f1679c0ee4004f34dde40a1ab580f.jpg,【三大运营商】梦幻联动！新宝岛 5G还原版！,1625735135,1625803213,"三大通信运营商首次同框！梦幻联动！赞超5w更新p2撕扯花絮！点赞超10w解锁极乐净土！

BGM: 新宝島
原视频：BV1AM4y1M71p
出镜：联通-君君；电信-酒酒；移动-祐祐
摄影：大受不是受
后期：辛妧
后援团：红烧肉居士、沈浪、师太、用用、蘑菇",4806485,307580
BV1oo4y1X7di,376670776,1,科学科普,1,http://i1.hdslb.com/bfs/archive/cf7a64e045423bf30893f11bf0b07c6b87f38352.jpg,珊瑚不是石头吗？为什么会打架？,1626406998,1626406998,-,2208488,174174
BV13K4y1u7w6,889127572,1,日常,1,http://i1.hdslb.com/bfs/archive/50a24473ba6d3cf1852e4ad03b7796cd3ef13b9a.jpg,当1米88的女生穿上20厘米高跟鞋去bw cos生化危机8里的迪米特雷斯库夫人是什么体验,1626083958,1626083958,有些东西不适合出现，从新投稿。。,7686681,383855
BV1AK4y1u7y4,889103031,1,明星综合,1,http://i2.hdslb.com/bfs/archive/5a8dc0b1a6e4e4ce615c86e672e866a8cbb93633.jpg,【时代少年团】「五月粉丝见面会实况」-《世界上的另一个我》纯享版,1625917204,1625917203,"【节目概述】
在纷乱复杂的世界中，永远都有另一个人在某个角落或者平行空间和你做着相同的事情，只是两位少年运气尚好，遇到了彼此那个“世界上的另一个我”。
“隔空控制游戏”、“凡事都靠猜拳决定”、“相互打闹“——少年们将生活中相互默契且有趣的相处模式搬上舞台，相互的陪伴让彼此打败了一个人孤独的感觉，对生活更加充满希望、热忱！",33559036,463981
BV1Tq4y1W7jr,546659879,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/38e096947f5c2247fc6a2bbbb2a4064a03b69350.jpg,史上最骚魔法师！(第四集),1626408022,1626408000,"游戏：The Darkside Detective A Fumble in the Dark
第一集：BV1M64y1m7gA；第二集：BV1jo4y117Vf；第三集：BV1tA41137T8
各位如果看得开心，希望三连支持一下！收藏到15w必更下一期！",5963599,532691
BV1QM4y1T7br,931460699,1,音乐现场,1,http://i0.hdslb.com/bfs/archive/5b68e24b4166136d316ff3b823b5c99cbd83bb88.jpg,中岛美嘉治愈之作《曾经我也想过一了百了》唱出你的心声,1625737085,1626009689,因为这首歌， 我对世界稍微有了期待,4170606,272240
BV1b44y1q7Cb,974017259,1,短片·手书·配音,1,http://i2.hdslb.com/bfs/archive/f664f5dc247a078350a5c65a34b84d15c7be1f14.jpg,《崩坏3》动画短片「薪炎永燃」,1625766497,1625803213,"当执拗的黑暗填满长夜的时候，
它或许是在等待一颗划破自己的流星。

她是琪亚娜·卡斯兰娜、是K423、是西琳、是空之律者、也是——薪炎之律者。

她同曾经的自己做出了断，同往日的迷惘划下诀别。
她决心迈出那坚定的步伐，迈向那明日的希望。
她紧握手中的巨剑，将美好守护、将这不完美的故事改写。

本片由miHoYo Anime出品，片中印象曲《Moon Halo》由米哈游旗下纯原创音乐团队HOYO-MiX制作，@茶理理理子   @TetraCalyx   @hanser   演唱。",14477860,749968
