视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV19a411w7g1,202439899,1,鬼畜调教,1,http://i0.hdslb.com/bfs/archive/94f948820b8920a75cd2bce99cf42894818a5a0b.jpg,郎 朗 上 头,1603000140,1603020920,"郎朗早期指导得得得的珍贵录像
BGM：Auf Und Auf Voll Lebenslust",25853305,1443305,664349,609924
BV1N54y127dm,839904701,1,搞笑,1,http://i0.hdslb.com/bfs/archive/bca26c53337ec4177b67bf7c938883f97a663e53.jpg,对不起，让你们失望了,1602881721,1602907217,"真的尽力了！！！求个赞！！！
无论怎样这次我都会给我自己的勇气点个赞！！！",9650337,939236,638732,175847
BV1ET4y1F7Tf,927580668,2,短片·手书·配音,1,http://i0.hdslb.com/bfs/archive/a46a8c387cdcf5bf3bb77dc66a7941021e41e0ce.jpg,【爆肝600+张原画】干物妹！可莉！,1603116237,1603162585,"可莉真的是太可爱了！嘤嘤嘤(╥╯^╰╥)~
再一次，历经了无数个不眠之夜！（诶，为什么我要说再一次？）
团队八成画师加班加点，爆肝产出600张+高清原画，后期听了沉默，画师听了流泪~o(╥﹏╥)o。
如果你喜欢的话，请记得一定要三连哦，不要下次！就这次！求求了！你的三连对我们真的很重要！⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄
今后我们会上传更多高质量的作品哒~！期待你的关注哦！！
（收藏过2W，动态放出部分高清原画哦~！）

【原作】：干物妹！小埋
【企划】：帷幕VMovie
【总监督】：爬丝
【绘画监督】：多刺",3860649,420579,371138,225760
BV1DZ4y1G7JK,372526115,1,音乐综合,1,http://i0.hdslb.com/bfs/archive/651be824f9ef607cbd3a0f82d3cb830b97255604.jpg,黄龄勾魂版《牵丝戏》！魅惑转音，绝美戏腔，演绎盘丝深情！,1603186244,1603186239,"浴室歌姬，醉舞盘丝 |《梦幻西游》电脑版X黄龄 | 盘丝洞门派曲《牵丝戏》
“暗箭无妨，唯恐相思味”
00子首次戏腔深情演绎《牵丝戏》，和浴室歌姬一起情牵盘丝~
作曲：银临
作词：Vagary
原唱：银临、Aki阿杰",11160905,559560,345683,346074
BV1Mf4y1z7cf,287554472,1,翻唱,1,http://i2.hdslb.com/bfs/archive/daaaecf1e8438317b953a18b41b81655dbf13406.jpg,【绯赤艾莉欧Official】新鲜出炉的美妙歌声，快一起进来听听吧！,1603289917,1603289917,恭喜团长达成三千舰成就！这样的歌声值得大家的喜爱！,1087625,56915,33159,13372
BV1SK4y177CJ,885080676,1,搞笑,1,http://i2.hdslb.com/bfs/archive/fd8adc235da2ec52db7415f048b1f92204803283.jpg,哎 哟 我 揍,1603202098,1603202098,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得素质三连！）",12076758,692846,374067,120404
BV1zA41177FQ,329907385,7,电子竞技,1,http://i0.hdslb.com/bfs/archive/97191aee016852d65befdd47b23bc1fb915446af.jpg,[2020全球总决赛]10月17日八强赛 TES vs FNC,1602932739,1602932739,[2020全球总决赛]10月17日八强赛 TES vs FNC,6613815,86625,38426,17110
BV1br4y1w77x,755112648,1,财经商业,1,http://i2.hdslb.com/bfs/archive/35cc8187789e0fe1d48444fd81e602612c2dfc85.jpg,【JUMP】苹果不送充电器为了环保？恶心心！,1603110564,1603110564,赚钱就赚钱，侮辱人智商就过分了。,2395983,168250,68146,19006
BV1Gt4y1i7NE,627489463,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/b139ea040bb9d20260e2ef35a330e5f16693bade.jpg,多二次元才会把坦克当老婆【解说全覆盖23期】,1603050952,1603050952,"关关关关关关注注注注注注我吧！
关关关关关关注注注注注注我吧！
这是坦克素材的上半段，因为太长截成单个视频投稿了；
下一期才是原计划的正片，就....最后喜闻乐见壮烈成仁那种的。
绝对不是为了收割两波三连才这么干的。

游戏：战地5
坦克娘：灰烬战线",3356755,135877,47164,24189
BV1ny4y1C7Xu,797400796,1,动漫杂谈,1,http://i1.hdslb.com/bfs/archive/5d36587f6e9af2d6359ca0268e14f55d463ee603.jpg,在教室里使用时间暂停后【阅片无数动漫篇13】,1602943250,1602943247,"第十二期BV18p4y1Y7ZF：这动画主角是个屁
第十一期BV1Ny4y1C7oZ：处男到了十八岁就会死！
第十期BV1d5411b745：学到了！柯南竟推理出小兰内衣情况
第九期BV1Yt4y1i7hH：史上最高杰作！恋爱游戏里竟然没有妹子
第八期BV1s5411h7eY：猛男决斗，输的变成妹子
第七期BV1jk4y12728：神：你必须要和100个女生交往！
更多生活中的凉风请参见→微博@凉风Kaza
另外一些不适合在视频解答的题，之后会放在微博",3787945,315559,81895,28838
